step,timestamp_offset_seconds,road_id,road_name,speed_kmh,occupancy_pct,queue_length,signal_phase,signal_remaining_seconds
3,00:00:15,R18,"Mahatma Gandhi Road",46,31,4,RED,39
3,00:00:15,R19,"Pandit Dindayal Upadhyay Marg",49,26,1,RED,32
3,00:00:15,R20,"Shram Marg",49,16,1,N/A,0
3,00:00:15,R21,"Mansa Road",43,30,6,RED,18
3,00:00:15,R22,"Airport Road",55,23,4,N/A,0
3,00:00:15,R23,"Vaishnodevi Circle",33,45,7,RED,4
3,00:00:15,R24,"Koba Circle",29,51,9,GREEN,42
3,00:00:15,R25,"Swagat Circle",40,33,7,GREEN,35
4,00:00:20,R01,"Infocity Flyover",14,94,49,GREEN,18
4,00:00:20,R02,"Infocity Flyover Ramp",8,99,62,N/A,0
4,00:00:20,R03,"GIFT City Road",40,31,2,GREEN,4
4,00:00:20,R04,"Koba - Gandhinagar Highway",21,89,37,RED,42
4,00:00:20,R05,"GH Road",21,78,31,RED,35
4,00:00:20,R06,"GH-3 Circle",9,95,50,N/A,0
4,00:00:20,R07,"Gandhinagar-Ahmedabad Highway",38,50,16,RED,21
4,00:00:20,R08,"CH Road",26,65,17,RED,14
4,00:00:20,R09,"Sarkhej-Gandhinagar Highway",44,39,5,RED,7
4,00:00:20,R10,"Gandhinagar-Sarkhej Highway",42,41,7,N/A,0
4,00:00:20,R11,"CHH Road",31,51,12,GREEN,38
4,00:00:20,R12,"Sardar Patel Ring Road",52,19,1,GREEN,31
4,00:00:20,R13,"Gandhinagar Bypass Road",59,17,2,N/A,0
4,00:00:20,R14,"NH48",62,18,2,N/A,0
4,00:00:20,R15,"Sardar Patel Ring Road Flyover",48,25,6,N/A,0
4,00:00:20,R16,"Kudasan-Por Road",49,24,5,GREEN,3
4,00:00:20,R17,"Randesan Road",51,20,0,N/A,0
4,00:00:20,R18,"Mahatma Gandhi Road",45,28,3,RED,34
4,00:00:20,R19,"Pandit Dindayal Upadhyay Marg",43,28,1,RED,27
4,00:00:20,R20,"Shram Marg",48,18,5,N/A,0
4,00:00:20,R21,"Mansa Road",38,35,6,RED,13
4,00:00:20,R22,"Airport Road",52,19,5,N/A,0
4,00:00:20,R23,"Vaishnodevi Circle",35,45,8,GREEN,44
4,00:00:20,R24,"Koba Circle",33,45,10,GREEN,37
4,00:00:20,R25,"Swagat Circle",38,33,9,GREEN,30
5,00:00:25,R01,"Infocity Flyover",12,94,49,GREEN,13
5,00:00:25,R02,"Infocity Flyover Ramp",9,97,65,N/A,0
5,00:00:25,R03,"GIFT City Road",37,27,7,YELLOW,2
5,00:00:25,R04,"Koba - Gandhinagar Highway",18,87,39,RED,37
5,00:00:25,R05,"GH Road",23,78,30,RED,30
5,00:00:25,R06,"GH-3 Circle",10,99,55,N/A,0
5,00:00:25,R07,"Gandhinagar-Ahmedabad Highway",34,49,14,RED,16
5,00:00:25,R08,"CH Road",29,64,19,RED,9
5,00:00:25,R09,"Sarkhej-Gandhinagar Highway",44,37,7,RED,2
5,00:00:25,R10,"Gandhinagar-Sarkhej Highway",42,43,10,N/A,0
5,00:00:25,R11,"CHH Road",28,56,13,GREEN,33
5,00:00:25,R12,"Sardar Patel Ring Road",56,24,4,GREEN,26
5,00:00:25,R13,"Gandhinagar Bypass Road",58,21,4,N/A,0
5,00:00:25,R14,"NH48",64,15,0,N/A,0
5,00:00:25,R15,"Sardar Patel Ring Road Flyover",48,22,3,N/A,0
5,00:00:25,R16,"Kudasan-Por Road",51,19,5,YELLOW,1
5,00:00:25,R17,"Randesan Road",53,19,5,N/A,0
5,00:00:25,R18,"Mahatma Gandhi Road",42,33,4,RED,29
5,00:00:25,R19,"Pandit Dindayal Upadhyay Marg",44,29,5,RED,22
5,00:00:25,R20,"Shram Marg",52,22,5,N/A,0
5,00:00:25,R21,"Mansa Road",41,30,3,RED,8
5,00:00:25,R22,"Airport Road",54,17,0,N/A,0
5,00:00:25,R23,"Vaishnodevi Circle",33,41,9,GREEN,39
5,00:00:25,R24,"Koba Circle",29,48,13,GREEN,32
5,00:00:25,R25,"Swagat Circle",38,37,9,GREEN,25
6,00:00:30,R01,"Infocity Flyover",15,94,47,GREEN,8
6,00:00:30,R02,"Infocity Flyover Ramp",10,99,63,N/A,0
6,00:00:30,R03,"GIFT City Road",40,28,6,RED,39
6,00:00:30,R04,"Koba - Gandhinagar Highway",20,88,37,RED,32
6,00:00:30,R05,"GH Road",20,78,34,RED,25
6,00:00:30,R06,"GH-3 Circle",12,93,56,N/A,0
6,00:00:30,R07,"Gandhinagar-Ahmedabad Highway",36,53,15,RED,11
6,00:00:30,R08,"CH Road",29,58,16,RED,4
6,00:00:30,R09,"Sarkhej-Gandhinagar Highway",44,41,5,GREEN,42
6,00:00:30,R10,"Gandhinagar-Sarkhej Highway",40,42,10,N/A,0
6,00:00:30,R11,"CHH Road",31,58,10,GREEN,28
6,00:00:30,R12,"Sardar Patel Ring Road",57,22,1,GREEN,21
6,00:00:30,R13,"Gandhinagar Bypass Road",63,20,3,N/A,0
6,00:00:30,R14,"NH48",64,15,2,N/A,0
6,00:00:30,R15,"Sardar Patel Ring Road Flyover",52,29,5,N/A,0
6,00:00:30,R16,"Kudasan-Por Road",48,22,1,RED,38
6,00:00:30,R17,"Randesan Road",51,17,0,N/A,0
6,00:00:30,R18,"Mahatma Gandhi Road",45,28,6,RED,24
6,00:00:30,R19,"Pandit Dindayal Upadhyay Marg",43,25,1,RED,17
6,00:00:30,R20,"Shram Marg",52,20,0,N/A,0
6,00:00:30,R21,"Mansa Road",40,30,7,RED,3
6,00:00:30,R22,"Airport Road",57,24,2,N/A,0
6,00:00:30,R23,"Vaishnodevi Circle",36,44,9,GREEN,34
6,00:00:30,R24,"Koba Circle",29,45,12,GREEN,27
6,00:00:30,R25,"Swagat Circle",40,36,8,GREEN,20
7,00:00:35,R01,"Infocity Flyover",13,97,49,GREEN,3
7,00:00:35,R02,"Infocity Flyover Ramp",8,99,65,N/A,0
7,00:00:35,R03,"GIFT City Road",39,29,5,RED,34
7,00:00:35,R04,"Koba - Gandhinagar Highway",16,88,40,RED,27
7,00:00:35,R05,"GH Road",22,79,35,RED,20
7,00:00:35,R06,"GH-3 Circle",13,99,55,N/A,0
7,00:00:35,R07,"Gandhinagar-Ahmedabad Highway",34,55,13,RED,6
7,00:00:35,R08,"CH Road",30,60,16,GREEN,44
7,00:00:35,R09,"Sarkhej-Gandhinagar Highway",40,41,8,GREEN,37
7,00:00:35,R10,"Gandhinagar-Sarkhej Highway",40,43,7,N/A,0
7,00:00:35,R11,"CHH Road",28,57,10,GREEN,23
7,00:00:35,R12,"Sardar Patel Ring Road",54,19,4,GREEN,16
7,00:00:35,R13,"Gandhinagar Bypass Road",63,21,3,N/A,0
7,00:00:35,R14,"NH48",64,18,2,N/A,0
7,00:00:35,R15,"Sardar Patel Ring Road Flyover",47,23,7,N/A,0
7,00:00:35,R16,"Kudasan-Por Road",45,20,5,RED,33
7,00:00:35,R17,"Randesan Road",55,20,0,N/A,0
7,00:00:35,R18,"Mahatma Gandhi Road",44,32,8,RED,19
7,00:00:35,R19,"Pandit Dindayal Upadhyay Marg",46,25,6,RED,12
7,00:00:35,R20,"Shram Marg",50,20,1,N/A,0
7,00:00:35,R21,"Mansa Road",40,32,6,GREEN,43
7,00:00:35,R22,"Airport Road",57,19,4,N/A,0
7,00:00:35,R23,"Vaishnodevi Circle",36,46,11,GREEN,29
7,00:00:35,R24,"Koba Circle",31,44,8,GREEN,22
7,00:00:35,R25,"Swagat Circle",38,39,6,GREEN,15
8,00:00:40,R01,"Infocity Flyover",14,92,47,YELLOW,1
8,00:00:40,R02,"Infocity Flyover Ramp",12,99,62,N/A,0
8,00:00:40,R03,"GIFT City Road",36,28,4,RED,29
8,00:00:40,R04,"Koba - Gandhinagar Highway",16,85,38,RED,22
8,00:00:40,R05,"GH Road",19,78,31,RED,15
8,00:00:40,R06,"GH-3 Circle",14,95,52,N/A,0
8,00:00:40,R07,"Gandhinagar-Ahmedabad Highway",35,52,16,RED,1
8,00:00:40,R08,"CH Road",30,64,19,GREEN,39
8,00:00:40,R09,"Sarkhej-Gandhinagar Highway",40,37,8,GREEN,32
8,00:00:40,R10,"Gandhinagar-Sarkhej Highway",39,42,12,N/A,0
8,00:00:40,R11,"CHH Road",27,54,12,GREEN,18
8,00:00:40,R12,"Sardar Patel Ring Road",57,20,4,GREEN,11
8,00:00:40,R13,"Gandhinagar Bypass Road",61,15,0,N/A,0
8,00:00:40,R14,"NH48",65,18,2,N/A,0
8,00:00:40,R15,"Sardar Patel Ring Road Flyover",53,26,6,N/A,0
8,00:00:40,R16,"Kudasan-Por Road",45,23,3,RED,28
8,00:00:40,R17,"Randesan Road",50,21,5,N/A,0
8,00:00:40,R18,"Mahatma Gandhi Road",46,32,3,RED,14
8,00:00:40,R19,"Pandit Dindayal Upadhyay Marg",48,28,2,RED,7
8,00:00:40,R20,"Shram Marg",48,18,0,N/A,0
8,00:00:40,R21,"Mansa Road",41,35,3,GREEN,38
8,00:00:40,R22,"Airport Road",56,17,4,N/A,0
8,00:00:40,R23,"Vaishnodevi Circle",37,46,6,GREEN,24
8,00:00:40,R24,"Koba Circle",30,50,13,GREEN,17
8,00:00:40,R25,"Swagat Circle",37,34,5,GREEN,10
9,00:00:45,R01,"Infocity Flyover",15,93,48,RED,38
9,00:00:45,R02,"Infocity Flyover Ramp",10,99,64,N/A,0
9,00:00:45,R03,"GIFT City Road",36,28,5,RED,24
9,00:00:45,R04,"Koba - Gandhinagar Highway",19,91,40,RED,17
9,00:00:45,R05,"GH Road",19,78,32,RED,10
9,00:00:45,R06,"GH-3 Circle",10,99,51,N/A,0
9,00:00:45,R07,"Gandhinagar-Ahmedabad Highway",38,51,16,GREEN,41
9,00:00:45,R08,"CH Road",30,65,20,GREEN,34
9,00:00:45,R09,"Sarkhej-Gandhinagar Highway",44,37,5,GREEN,27
9,00:00:45,R10,"Gandhinagar-Sarkhej Highway",41,39,7,N/A,0
9,00:00:45,R11,"CHH Road",30,55,11,GREEN,13
9,00:00:45,R12,"Sardar Patel Ring Road",52,21,6,GREEN,6
9,00:00:45,R13,"Gandhinagar Bypass Road",62,20,2,N/A,0
9,00:00:45,R14,"NH48",65,13,4,N/A,0
9,00:00:45,R15,"Sardar Patel Ring Road Flyover",48,25,3,N/A,0
9,00:00:45,R16,"Kudasan-Por Road",51,21,0,RED,23
9,00:00:45,R17,"Randesan Road",54,19,2,N/A,0
9,00:00:45,R18,"Mahatma Gandhi Road",44,31,3,RED,9
9,00:00:45,R19,"Pandit Dindayal Upadhyay Marg",44,24,3,RED,2
9,00:00:45,R20,"Shram Marg",51,20,3,N/A,0
9,00:00:45,R21,"Mansa Road",42,33,9,GREEN,33
9,00:00:45,R22,"Airport Road",53,23,3,N/A,0
9,00:00:45,R23,"Vaishnodevi Circle",35,44,10,GREEN,19
9,00:00:45,R24,"Koba Circle",30,44,10,GREEN,12
9,00:00:45,R25,"Swagat Circle",40,32,6,GREEN,5
10,00:00:50,R01,"Infocity Flyover",15,99,49,RED,33
10,00:00:50,R02,"Infocity Flyover Ramp",10,99,66,N/A,0
10,00:00:50,R03,"GIFT City Road",41,26,8,RED,19
10,00:00:50,R04,"Koba - Gandhinagar Highway",17,90,40,RED,12
10,00:00:50,R05,"GH Road",21,83,34,RED,5
10,00:00:50,R06,"GH-3 Circle",10,99,53,N/A,0
10,00:00:50,R07,"Gandhinagar-Ahmedabad Highway",34,48,12,GREEN,36
10,00:00:50,R08,"CH Road",30,62,15,GREEN,29
10,00:00:50,R09,"Sarkhej-Gandhinagar Highway",45,34,6,GREEN,22
10,00:00:50,R10,"Gandhinagar-Sarkhej Highway",41,42,8,N/A,0
10,00:00:50,R11,"CHH Road",30,54,10,GREEN,8
10,00:00:50,R12,"Sardar Patel Ring Road",55,22,1,GREEN,1
10,00:00:50,R13,"Gandhinagar Bypass Road",61,20,3,N/A,0
10,00:00:50,R14,"NH48",64,17,4,N/A,0
10,00:00:50,R15,"Sardar Patel Ring Road Flyover",48,24,3,N/A,0
10,00:00:50,R16,"Kudasan-Por Road",50,23,0,RED,18
10,00:00:50,R17,"Randesan Road",51,20,2,N/A,0
10,00:00:50,R18,"Mahatma Gandhi Road",41,27,6,RED,4
10,00:00:50,R19,"Pandit Dindayal Upadhyay Marg",49,22,4,GREEN,42
10,00:00:50,R20,"Shram Marg",49,15,1,N/A,0
10,00:00:50,R21,"Mansa Road",39,30,7,GREEN,28
10,00:00:50,R22,"Airport Road",55,23,2,N/A,0
10,00:00:50,R23,"Vaishnodevi Circle",35,45,9,GREEN,14
10,00:00:50,R24,"Koba Circle",27,48,12,GREEN,7
10,00:00:50,R25,"Swagat Circle",40,33,5,YELLOW,3
11,00:00:55,R01,"Infocity Flyover",15,96,50,RED,28
11,00:00:55,R02,"Infocity Flyover Ramp",10,99,62,N/A,0
11,00:00:55,R03,"GIFT City Road",38,27,7,RED,14
11,00:00:55,R04,"Koba - Gandhinagar Highway",15,93,39,RED,7
11,00:00:55,R05,"GH Road",19,85,31,GREEN,45
11,00:00:55,R06,"GH-3 Circle",14,99,53,N/A,0
11,00:00:55,R07,"Gandhinagar-Ahmedabad Highway",36,53,13,GREEN,31
11,00:00:55,R08,"CH Road",30,57,16,GREEN,24
11,00:00:55,R09,"Sarkhej-Gandhinagar Highway",44,37,7,GREEN,17
11,00:00:55,R10,"Gandhinagar-Sarkhej Highway",39,42,10,N/A,0
11,00:00:55,R11,"CHH Road",30,53,15,GREEN,3
11,00:00:55,R12,"Sardar Patel Ring Road",53,20,3,RED,41
11,00:00:55,R13,"Gandhinagar Bypass Road",60,16,5,N/A,0
11,00:00:55,R14,"NH48",64,18,0,N/A,0
11,00:00:55,R15,"Sardar Patel Ring Road Flyover",52,25,5,N/A,0
11,00:00:55,R16,"Kudasan-Por Road",47,19,5,RED,13
11,00:00:55,R17,"Randesan Road",50,16,2,N/A,0
11,00:00:55,R18,"Mahatma Gandhi Road",46,33,5,GREEN,44
11,00:00:55,R19,"Pandit Dindayal Upadhyay Marg",49,26,1,GREEN,37
11,00:00:55,R20,"Shram Marg",50,21,2,N/A,0
11,00:00:55,R21,"Mansa Road",40,35,8,GREEN,23
11,00:00:55,R22,"Airport Road",54,24,4,N/A,0
11,00:00:55,R23,"Vaishnodevi Circle",36,44,6,GREEN,9
11,00:00:55,R24,"Koba Circle",33,48,12,GREEN,2
11,00:00:55,R25,"Swagat Circle",37,33,6,RED,40
12,00:01:00,R01,"Infocity Flyover",12,94,53,RED,23
12,00:01:00,R02,"Infocity Flyover Ramp",8,99,67,N/A,0
12,00:01:00,R03,"GIFT City Road",39,26,8,RED,9
12,00:01:00,R04,"Koba - Gandhinagar Highway",15,86,39,RED,2
12,00:01:00,R05,"GH Road",21,85,32,GREEN,40
12,00:01:00,R06,"GH-3 Circle",9,98,53,N/A,0
12,00:01:00,R07,"Gandhinagar-Ahmedabad Highway",33,56,15,GREEN,26
12,00:01:00,R08,"CH Road",25,62,17,GREEN,19
12,00:01:00,R09,"Sarkhej-Gandhinagar Highway",43,36,7,GREEN,12
12,00:01:00,R10,"Gandhinagar-Sarkhej Highway",40,44,11,N/A,0
12,00:01:00,R11,"CHH Road",28,54,15,YELLOW,1
12,00:01:00,R12,"Sardar Patel Ring Road",52,22,4,RED,36
12,00:01:00,R13,"Gandhinagar Bypass Road",61,20,5,N/A,0
12,00:01:00,R14,"NH48",66,15,2,N/A,0
12,00:01:00,R15,"Sardar Patel Ring Road Flyover",50,23,6,N/A,0
12,00:01:00,R16,"Kudasan-Por Road",46,20,4,RED,8
12,00:01:00,R17,"Randesan Road",54,15,0,N/A,0
12,00:01:00,R18,"Mahatma Gandhi Road",44,34,7,GREEN,39
12,00:01:00,R19,"Pandit Dindayal Upadhyay Marg",47,24,2,GREEN,32
12,00:01:00,R20,"Shram Marg",52,17,4,N/A,0
12,00:01:00,R21,"Mansa Road",43,34,4,GREEN,18
12,00:01:00,R22,"Airport Road",55,21,4,N/A,0
12,00:01:00,R23,"Vaishnodevi Circle",38,39,6,GREEN,4
12,00:01:00,R24,"Koba Circle",31,52,11,RED,42
12,00:01:00,R25,"Swagat Circle",37,37,7,RED,35
13,00:01:05,R01,"Infocity Flyover",13,95,51,RED,18
13,00:01:05,R02,"Infocity Flyover Ramp",9,99,62,N/A,0
13,00:01:05,R03,"GIFT City Road",39,28,5,RED,4
13,00:01:05,R04,"Koba - Gandhinagar Highway",19,93,41,GREEN,42
13,00:01:05,R05,"GH Road",18,80,32,GREEN,35
13,00:01:05,R06,"GH-3 Circle",9,98,54,N/A,0
13,00:01:05,R07,"Gandhinagar-Ahmedabad Highway",33,54,15,GREEN,21
13,00:01:05,R08,"CH Road",28,65,20,GREEN,14
13,00:01:05,R09,"Sarkhej-Gandhinagar Highway",44,36,6,GREEN,7
13,00:01:05,R10,"Gandhinagar-Sarkhej Highway",38,39,10,N/A,0
13,00:01:05,R11,"CHH Road",27,53,11,RED,38
13,00:01:05,R12,"Sardar Patel Ring Road",57,22,2,RED,31
13,00:01:05,R13,"Gandhinagar Bypass Road",58,18,0,N/A,0
13,00:01:05,R14,"NH48",62,19,3,N/A,0
13,00:01:05,R15,"Sardar Patel Ring Road Flyover",52,23,2,N/A,0
13,00:01:05,R16,"Kudasan-Por Road",47,19,3,RED,3
13,00:01:05,R17,"Randesan Road",51,15,5,N/A,0
13,00:01:05,R18,"Mahatma Gandhi Road",41,30,4,GREEN,34
13,00:01:05,R19,"Pandit Dindayal Upadhyay Marg",48,26,2,GREEN,27
13,00:01:05,R20,"Shram Marg",53,22,3,N/A,0
13,00:01:05,R21,"Mansa Road",42,33,7,GREEN,13
13,00:01:05,R22,"Airport Road",52,16,0,N/A,0
13,00:01:05,R23,"Vaishnodevi Circle",36,43,8,YELLOW,2
13,00:01:05,R24,"Koba Circle",30,44,12,RED,37
13,00:01:05,R25,"Swagat Circle",37,35,9,RED,30
14,00:01:10,R01,"Infocity Flyover",12,99,53,RED,13
14,00:01:10,R02,"Infocity Flyover Ramp",12,99,68,N/A,0
14,00:01:10,R03,"GIFT City Road",41,27,3,GREEN,44
14,00:01:10,R04,"Koba - Gandhinagar Highway",19,87,43,GREEN,37
14,00:01:10,R05,"GH Road",18,84,35,GREEN,30
14,00:01:10,R06,"GH-3 Circle",11,99,55,N/A,0
14,00:01:10,R07,"Gandhinagar-Ahmedabad Highway",34,53,13,GREEN,16
14,00:01:10,R08,"CH Road",25,64,17,GREEN,9
14,00:01:10,R09,"Sarkhej-Gandhinagar Highway",43,37,6,GREEN,2
14,00:01:10,R10,"Gandhinagar-Sarkhej Highway",41,42,7,N/A,0
14,00:01:10,R11,"CHH Road",30,56,11,RED,33
14,00:01:10,R12,"Sardar Patel Ring Road",53,19,6,RED,26
14,00:01:10,R13,"Gandhinagar Bypass Road",60,20,4,N/A,0
14,00:01:10,R14,"NH48",65,18,3,N/A,0
14,00:01:10,R15,"Sardar Patel Ring Road Flyover",51,29,3,N/A,0
14,00:01:10,R16,"Kudasan-Por Road",46,19,0,GREEN,43
14,00:01:10,R17,"Randesan Road",53,15,0,N/A,0
14,00:01:10,R18,"Mahatma Gandhi Road",46,31,4,GREEN,29
14,00:01:10,R19,"Pandit Dindayal Upadhyay Marg",45,24,4,GREEN,22
14,00:01:10,R20,"Shram Marg",49,17,2,N/A,0
14,00:01:10,R21,"Mansa Road",38,29,3,GREEN,8
14,00:01:10,R22,"Airport Road",58,24,2,N/A,0
14,00:01:10,R23,"Vaishnodevi Circle",36,40,7,RED,39
14,00:01:10,R24,"Koba Circle",30,48,13,RED,32
14,00:01:10,R25,"Swagat Circle",36,40,8,RED,25
15,00:01:15,R01,"Infocity Flyover",12,97,50,RED,8
15,00:01:15,R02,"Infocity Flyover Ramp",7,99,63,N/A,0
15,00:01:15,R03,"GIFT City Road",38,32,8,GREEN,39
15,00:01:15,R04,"Koba - Gandhinagar Highway",15,91,41,GREEN,32
15,00:01:15,R05,"GH Road",22,83,33,GREEN,25
15,00:01:15,R06,"GH-3 Circle",9,97,56,N/A,0
15,00:01:15,R07,"Gandhinagar-Ahmedabad Highway",34,54,12,GREEN,11
15,00:01:15,R08,"CH Road",27,64,20,GREEN,4
15,00:01:15,R09,"Sarkhej-Gandhinagar Highway",42,40,7,RED,42
15,00:01:15,R10,"Gandhinagar-Sarkhej Highway",41,37,7,N/A,0
15,00:01:15,R11,"CHH Road",27,57,10,RED,28
15,00:01:15,R12,"Sardar Patel Ring Road",58,23,1,RED,21
15,00:01:15,R13,"Gandhinagar Bypass Road",61,19,2,N/A,0
15,00:01:15,R14,"NH48",65,13,0,N/A,0
15,00:01:15,R15,"Sardar Patel Ring Road Flyover",50,22,5,N/A,0
15,00:01:15,R16,"Kudasan-Por Road",48,18,2,GREEN,38
15,00:01:15,R17,"Randesan Road",52,17,1,N/A,0
15,00:01:15,R18,"Mahatma Gandhi Road",44,33,4,GREEN,24
15,00:01:15,R19,"Pandit Dindayal Upadhyay Marg",44,23,5,GREEN,17
15,00:01:15,R20,"Shram Marg",50,18,1,N/A,0
15,00:01:15,R21,"Mansa Road",38,37,5,GREEN,3
15,00:01:15,R22,"Airport Road",54,24,2,N/A,0
